strategy,mean_sr,std_sr,ci_95,boot_ci_lower,boot_ci_upper,p_value_vs_uniform,seed_count,mode,budget,timestamp,commit_hash,config_hash
uniform,0.9855005075421315,0.0005607075787233635,0.0006345003561646906,0.9849550720225256,0.9862716874907923,1.0,3,simulated,100k_steps,2026-04-28T20:31:18.960114,976f08050e84c778b8f22d15c6a46fa383af8e58,5128527155809378719
empirical,0.987463028588453,0.00028886048209501375,0.0003268764071077705,0.9870566968733557,0.9877026837616135,0.08201696912193412,3,simulated,100k_steps,2026-04-28T20:31:18.982998,976f08050e84c778b8f22d15c6a46fa383af8e58,5128527155809378719
invfreq,0.973055744190364,0.0008262971652896084,0.0009350432659887371,0.9724351622741606,0.9742235367939506,0.005156811440275454,3,simulated,100k_steps,2026-04-28T20:31:19.002883,976f08050e84c778b8f22d15c6a46fa383af8e58,5128527155809378719
pt-rank,0.9820884545941876,0.0029709295761300466,0.0033619233014233222,0.9780697185096647,0.9851594035479682,0.29846943566387174,3,simulated,100k_steps,2026-04-28T20:31:19.023665,976f08050e84c778b8f22d15c6a46fa383af8e58,5128527155809378719
